trial,cluster_index,cluster_size_houses,cluster_peak_kw,cluster_required_kva,chosen_transformer_kva
0,1,3,28.640429645760452,31.8226996064005,50.0
0,2,7,40.52875476816662,45.031949742407356,50.0
0,3,10,65.05009912347074,72.2778879149675,75.0
0,4,3,56.19219888564167,62.43577653960186,75.0
0,5,3,44.057360821317396,48.95262313479711,50.0
0,6,1,22.08132890766667,24.53480989740741,25.0
1,1,7,69.91936995512428,77.68818883902698,
1,2,7,48.763597268202346,54.18177474244705,75.0
1,3,1,10.33080549723244,11.47867277470271,25.0
1,4,5,62.231916072534474,69.14657341392719,75.0
1,5,7,43.26764933578929,48.07516592865476,50.0
2,1,6,91.91472073089486,102.12746747877206,
2,2,7,52.81014307726836,58.677936752520395,75.0
2,3,10,66.51072525301718,73.90080583668576,75.0
2,4,4,24.65954091210586,27.399489902339845,50.0
3,1,6,56.92644444914317,63.25160494349241,75.0
3,2,3,22.843311043185103,25.381456714650113,50.0
3,3,4,63.03454899874288,70.03838777638097,75.0
3,4,6,40.15990281716523,44.6221142412947,50.0
3,5,1,17.141314318934338,19.04590479881593,25.0
3,6,7,54.89456560180016,60.993961779777955,75.0
4,1,11,73.18807435121428,81.32008261246031,
4,2,3,22.037264265254457,24.48584918361606,25.0
4,3,3,59.37554230211351,65.97282478012612,75.0
4,4,10,74.62157871557099,82.91286523952333,
5,1,8,59.39121340414633,65.99023711571814,75.0
5,2,4,66.21409117181429,73.57121241312699,75.0
5,3,8,46.94349467944229,52.15943853271365,75.0
5,4,7,51.551262547011554,57.279180607790614,75.0
6,1,4,78.74273068389704,87.49192298210782,
6,2,3,17.75300266070191,19.72555851189101,25.0
6,3,5,48.005650133536,53.33961125948444,75.0
6,4,3,20.875639493786846,23.195154993096494,25.0
6,5,3,28.08435043790986,31.204833819899843,50.0
6,6,9,67.67361641323421,75.1929071258158,
7,1,1,16.69485275501319,18.5498363944591,25.0
7,2,4,30.618569608625798,34.02063289847311,50.0
7,3,5,41.734921174386216,46.37213463820691,50.0
7,4,1,10.33080549723244,11.47867277470271,25.0
7,5,8,52.74561233492283,58.60623592769203,75.0
7,6,2,21.55251324738694,23.947236941541046,25.0
7,7,4,69.5146279123831,77.23847545820345,
7,8,2,35.87408926995535,39.86009918883928,50.0
8,1,3,24.728395623796708,27.475995137551898,50.0
8,2,10,115.47838183900964,128.30931315445517,
8,3,6,39.03214152734727,43.369046141496966,50.0
8,4,8,74.27599617582698,82.52888463980774,
9,1,5,31.503394286109653,35.003771429010726,50.0
9,2,11,134.84568740318997,149.82854155909996,
9,3,6,37.217441765994586,41.352713073327315,50.0
9,4,5,29.94771546055896,33.27523940062107,50.0
10,1,4,30.03888573723045,33.37653970803383,50.0
10,2,5,67.93739031273749,75.48598923637499,
10,3,1,10.534539891060303,11.705044323400337,25.0
10,4,6,38.33697396501764,42.59663773890849,50.0
10,5,7,75.7424068073181,84.158229785909,
10,6,4,36.423353576164175,40.47039286240464,50.0
11,1,2,17.103690591473935,19.00410065719326,25.0
11,2,11,104.00197726317722,115.55775251464135,
11,3,1,18.86166812245891,20.95740902495434,25.0
11,4,12,84.63951070414414,94.04390078238238,
11,5,1,13.917712112415307,15.464124569350341,25.0
12,1,11,77.8809504554972,86.5343893949969,
12,2,10,80.73320990171295,89.70356655745884,
12,3,6,54.074756844136324,60.08306316015147,75.0
13,1,11,100.30407464289105,111.4489718254345,
13,2,1,9.102514816364543,10.11390535151616,25.0
13,3,4,20.195810890279198,22.439789878087996,25.0
13,4,9,74.40112797617273,82.66791997352526,
13,5,2,17.35647006889186,19.284966743213175,25.0
14,1,7,37.45135649953436,41.612618332815956,50.0
14,2,4,40.82610496094085,45.36233884548984,50.0
14,3,10,106.01352020810005,117.79280023122227,
14,4,6,44.38577562102452,49.31752846780502,50.0
