trial,n_total_customers,uf_target,pf,cluster_min,cluster_max,n_clusters,n_25kva,n_50kva,n_75kva,n_oversize_clusters,installed_kva_total,sum_cluster_peak_kw
0,27,0.8,0.9,1,12,6,1,3,2,0,325.0,256.55017215202355
1,27,0.8,0.9,1,12,5,1,1,2,1,225.0,234.51333812888285
2,27,0.8,0.9,1,12,4,0,1,2,1,200.0,235.89512997328626
3,27,0.8,0.9,1,12,6,1,2,3,0,350.0,255.0000872289709
4,27,0.8,0.9,1,12,4,1,0,1,2,100.0,229.22245963415324
5,27,0.8,0.9,1,12,4,0,0,4,0,300.0,224.10006180241447
6,27,0.8,0.9,1,12,6,2,1,1,2,175.0,261.1349898230659
7,27,0.8,0.9,1,12,8,3,3,1,1,300.0,279.0659917999059
8,27,0.8,0.9,1,12,4,0,2,0,2,100.0,253.5149151659806
9,27,0.8,0.9,1,12,4,0,3,0,1,150.0,233.51423891585316
10,27,0.8,0.9,1,12,6,1,3,0,2,175.0,259.01355028952815
11,27,0.8,0.9,1,12,5,3,0,0,2,75.0,238.52455879366948
12,27,0.8,0.9,1,12,3,0,0,1,2,75.0,212.68891720134647
13,27,0.8,0.9,1,12,5,3,0,0,2,75.0,221.3599983945994
14,27,0.8,0.9,1,12,4,0,3,0,1,150.0,228.6767572895998
