trial,cluster_index,cluster_size_houses,cluster_peak_kw,cluster_required_kva,chosen_transformer_kva,building_IDs
13,1,1,10.205203282760689,11.339114758622989,25.0,['467636']
13,2,11,29.275224326770243,32.52802702974471,50.0,"['186366', '202088', '330074', '336050', '448971', '201819', '401027', '104562', '309544', '454230', '521372']"
13,3,5,19.283552434574936,21.42616937174993,25.0,"['381418', '370745', '408279', '212021', '240212']"
13,4,8,21.79826681707313,24.220296463414588,25.0,"['334183', '254810', '144143', '531771', '298162', '370146', '165026', '93799']"
13,5,3,22.733109970147684,25.25901107794187,50.0,"['232939', '321516', '489009']"
13,6,6,22.04734893431067,24.497054371456297,25.0,"['392818', '323278', '299045', '418397', '412019', '170825']"
13,7,5,19.80756116512686,22.0084012945854,25.0,"['3612', '173392', '124544', '372892', '428747']"
13,8,12,33.989840283649585,37.76648920405509,50.0,"['99499', '387140', '193154', '432616', '238210', '199657', '323846', '217704', '214106', '524496', '142507', '545763']"
13,9,7,23.042174660242672,25.602416289158523,50.0,"['31382', '160500', '200098', '95544', '77868', '463762', '520838']"
13,10,2,13.667942359251194,15.186602621390216,25.0,"['160568', '70024']"
13,11,9,26.08490915485679,28.98323239428532,50.0,"['489422', '391969', '454110', '89230', '38407', '104208', '469666', '359302', '34928']"
13,12,5,21.127297527122384,23.47477503013598,25.0,"['176384', '421285', '203389', '173278', '6945']"
13,13,8,33.86734336455886,37.63038151617651,50.0,"['249276', '237735', '376796', '315517', '392995', '95159', '469041', '236160']"
13,14,13,32.66652988812621,36.29614432014024,50.0,"['188246', '126829', '126795', '274702', '541219', '208475', '228588', '40454', '206494', '147115', '279405', '68232', '79849']"
13,15,3,16.304557736315193,18.11617526257244,25.0,"['388148', '537424', '176608']"
13,16,11,28.07777244782274,31.197524942025264,50.0,"['350164', '298681', '102922', '476573', '280063', '303298', '275091', '464315', '210595', '528839', '436427']"
13,17,5,19.385367951014945,21.53929772334994,25.0,"['377381', '39960', '275286', '227517', '400528']"
13,18,9,35.55984779783006,39.51094199758895,50.0,"['339433', '162090', '503022', '44812', '512375', '97305', '101380', '87191', '242598']"
13,19,7,23.744734766929717,26.383038629921906,50.0,"['379880', '203949', '358737', '27832', '411339', '485566', '369055']"
13,20,6,19.80669451615358,22.00743835128176,25.0,"['270459', '423568', '302838', '122651', '361750', '543450']"
13,21,7,21.066005350036267,23.406672611151407,25.0,"['419752', '109561', '337903', '13050', '241331', '35191', '57620']"
13,22,2,9.82031678500694,10.911463094452158,25.0,"['235662', '432671']"
13,23,8,29.96153265181509,33.29059183535011,50.0,"['497858', '493708', '95555', '547304', '18626', '538593', '67168', '188110']"
13,24,5,21.39006686245416,23.7667409582824,25.0,"['362268', '147319', '343990', '327596', '230471']"
13,25,10,27.78373575681152,30.87081750756835,50.0,"['77324', '493311', '365132', '471083', '491740', '414177', '317423', '217854', '69868', '61674']"
13,26,12,34.577741901390375,38.41971322376708,50.0,"['263662', '180949', '129763', '385476', '163934', '305432', '20210', '498854', '506224', '7292', '47630', '234094']"
13,27,13,34.372679469364705,38.19186607707189,50.0,"['307573', '496323', '269586', '374743', '233532', '312335', '470251', '437803', '262350', '539605', '187566', '76849', '371852']"
13,28,7,31.045625923032883,34.49513991448098,50.0,"['524444', '193900', '389848', '389744', '487709', '237962', '465182']"
13,29,10,26.90514753896514,29.89460837662793,50.0,"['302815', '56167', '385325', '155119', '223077', '386874', '238242', '67009', '287709', '199812']"
13,30,4,12.900214226038765,14.333571362265294,25.0,"['331771', '248997', '265588', '259004']"
13,31,5,14.581201981741485,16.201335535268313,25.0,"['293636', '209609', '420064', '32222', '300631']"
13,32,3,9.972814792947617,11.080905325497351,25.0,"['451461', '299354', '81741']"
