trial,n_transformers,installed_kva,n_25kva,n_50kva,n_75kva,n_oversize,distance_to_median
13,108,4100.0,53,54,1,0,0.03707262903097546
16,111,4250.0,53,57,1,0,0.038525389748765376
4,114,4375.0,54,59,1,0,0.09195461358207788
10,115,4275.0,60,54,1,0,0.14163599448061073
14,101,3825.0,50,50,1,0,0.1631700984697382
7,118,4350.0,63,54,1,0,0.20563346979312164
19,119,4400.0,63,55,1,0,0.21041684085835624
15,103,4125.0,42,60,1,0,0.2362653869072758
5,117,4225.0,66,50,1,0,0.2692333823125835
18,108,4100.0,52,56,0,0,1.0008648152469313
0,109,4150.0,52,57,0,0,1.00099005377029
2,107,4125.0,51,54,2,0,1.0014638436989578
6,112,4275.0,53,59,0,0,1.0029157318559223
17,110,4075.0,57,53,0,0,1.0040337259542247
11,110,4325.0,49,59,2,0,1.0058322207072674
9,105,4100.0,46,59,0,0,1.0126759229504672
1,118,4325.0,63,55,0,0,1.0205892105041046
12,105,4150.0,44,61,0,0,1.0212849540155666
3,124,4225.0,81,41,2,0,1.1662347209483133
8,108,4200.0,51,54,3,0,2.0005234206448446
