trial,cluster_index,cluster_size_houses,cluster_peak_kw,cluster_required_kva,chosen_transformer_kva
0,1,4,28.38815470844687,31.54239412049652,50.0
0,2,10,78.6837761291017,87.42641792122411,
0,3,13,106.13303859941638,117.92559844379598,
1,1,10,54.85308512341946,60.94787235935495,75.0
1,2,10,115.56900576962778,128.41000641069752,
1,3,2,23.19519936828466,25.77244374253851,50.0
1,4,5,34.502397608523566,38.335997342803964,50.0
2,1,9,61.549205945015125,68.38800660557236,75.0
2,2,11,79.6538382143377,88.50426468259744,
2,3,7,76.99469483915644,85.54966093239604,
3,1,11,71.7893957384583,79.76599526495366,
3,2,3,24.847952203949546,27.60883578216616,50.0
3,3,13,115.76063356025897,128.6229261780655,
4,1,6,33.696428484925704,37.44047609436189,50.0
4,2,3,20.126411898379327,22.36267988708814,25.0
4,3,10,73.79757236227128,81.99730262474587,
4,4,8,104.12327202980083,115.69252447755647,
5,1,12,85.06506566102912,94.5167396233657,
5,2,7,48.32464048536354,53.694044983737264,75.0
5,3,8,77.40707260833099,86.0078584537011,
6,1,12,87.27857137590462,96.9761904176718,
6,2,5,74.8436141615853,83.15957129065032,
6,3,5,32.32203408792217,35.91337120880241,50.0
6,4,5,30.63099616613518,34.034440184594644,50.0
7,1,6,67.42268460184484,74.91409400204982,75.0
7,2,1,10.08719007950461,11.207988977227345,25.0
7,3,5,35.075266967109144,38.97251885234349,50.0
7,4,7,52.541139389241785,58.37904376582421,75.0
7,5,1,18.03444663949513,20.038274043883476,25.0
7,6,7,72.52580454747611,80.58422727497346,
8,1,5,57.361809758217504,63.73534417579722,75.0
8,2,15,94.69468458444838,105.21631620494264,
8,3,7,63.17368479265811,70.19298310295345,75.0
9,1,8,61.71310395369947,68.57011550411052,75.0
9,2,17,126.31340297504761,140.34822552783066,
9,3,2,23.314291041620123,25.904767824022358,50.0
10,1,6,50.263121917178,55.84791324130889,75.0
10,2,7,54.46944295591941,60.5216032843549,75.0
10,3,1,17.141314318934338,19.04590479881593,25.0
10,4,9,53.2756098452823,59.195122050313664,75.0
10,5,4,78.4004644519211,87.11162716880122,
11,1,3,74.98136168683818,83.31262409648687,
11,2,17,100.74928624002953,111.9436513778106,
11,3,1,9.102514816364543,10.11390535151616,25.0
11,4,6,33.584971334260025,37.31663481584447,50.0
12,1,17,127.70124364615275,141.8902707179475,
12,2,10,56.73355295396168,63.037281059957415,75.0
13,1,17,82.66930057852979,91.85477842058864,
13,2,2,56.06021960849987,62.289132898333186,75.0
13,3,6,59.308675786925875,65.89852865213986,75.0
13,4,2,20.621531381996093,22.912812646662324,25.0
14,1,13,113.47043863461539,126.07826514957266,
14,2,2,29.687717946377703,32.986353273753004,50.0
14,3,12,67.08651417682857,74.5405713075873,75.0
