trial,n_total_customers,uf_target,pf,cluster_min,cluster_max,n_clusters,n_25kva,n_50kva,n_75kva,n_oversize_clusters,installed_kva_total,sum_cluster_peak_kw
0,27,0.8,0.9,1,13,5,3,2,0,0,175.0,90.43946843403468
1,27,0.8,0.9,1,13,5,4,1,0,0,150.0,92.1611682767429
2,27,0.8,0.9,1,13,4,2,2,0,0,150.0,84.83546853485548
3,27,0.8,0.9,1,13,6,3,3,0,0,225.0,117.71947223456561
4,27,0.8,0.9,1,13,4,2,2,0,0,150.0,91.38841411280734
5,27,0.8,0.9,1,13,4,2,2,0,0,150.0,83.54825145709675
6,27,0.8,0.9,1,13,6,4,2,0,0,200.0,124.93547638567944
7,27,0.8,0.9,1,13,8,7,1,0,0,225.0,96.48246436473597
8,27,0.8,0.9,1,13,4,2,2,0,0,150.0,94.51903090434719
9,27,0.8,0.9,1,13,4,1,3,0,0,175.0,91.40808479895207
10,27,0.8,0.9,1,13,6,5,1,0,0,175.0,113.19221824812959
11,27,0.8,0.9,1,13,4,2,2,0,0,150.0,86.38773676190681
12,27,0.8,0.9,1,13,3,1,2,0,0,125.0,78.713992065477
13,27,0.8,0.9,1,13,4,2,2,0,0,150.0,85.83369937683781
14,27,0.8,0.9,1,13,4,2,2,0,0,150.0,82.96212177092923
15,27,0.8,0.9,1,13,4,2,2,0,0,150.0,93.87938248681817
16,27,0.8,0.9,1,13,4,2,2,0,0,150.0,84.33335830802737
17,27,0.8,0.9,1,13,4,1,3,0,0,175.0,113.69661330993328
18,27,0.8,0.9,1,13,6,5,1,0,0,175.0,91.1291232019603
19,27,0.8,0.9,1,13,4,3,1,0,0,125.0,69.96547129981325
